Timestamp	Electric	Water	Chilled Water	Gas
2021-01-01 00:00:00	1,275.71	30.00		1,333.06
2021-01-01 01:00:00	1,281.85	35.00		1,428.28
2021-01-01 02:00:00	1,277.75	141.00		1,278.65
2021-01-01 03:00:00	1,271.61	150.00		1,265.05
2021-01-01 04:00:00	1,276.39	24.00		1,333.06
2021-01-01 05:00:00	1,282.53	25.00		1,414.68
2021-01-01 06:00:00	1,306.42	29.00		1,319.46
2021-01-01 07:00:00	1,300.96	179.00		1,333.06
2021-01-01 08:00:00	1,307.10	40.00		1,373.87
2021-01-01 09:00:00	1,300.28	37.00		1,305.86
2021-01-01 10:00:00	1,332.36	36.00		1,373.87
2021-01-01 11:00:00	1,319.39	32.00		1,156.23
2021-01-01 12:00:00	1,315.98	45.00		1,210.64
2021-01-01 13:00:00	1,322.12	47.00		1,251.45
2021-01-01 14:00:00	1,314.61	38.00		1,183.43
2021-01-01 15:00:00	1,324.85	76.00		1,115.42
2021-01-01 16:00:00	1,333.72	34.00		1,251.45
2021-01-01 17:00:00	1,319.39	186.00		1,074.61
2021-01-01 18:00:00	1,319.39	44.00		1,197.04
2021-01-01 19:00:00	1,311.88	42.00		1,224.24
2021-01-01 20:00:00	1,325.53	44.00		1,237.84
2021-01-01 21:00:00	1,303.69	35.00		1,251.45
2021-01-01 22:00:00	1,286.63	40.00		1,278.65
2021-01-01 23:00:00	1,281.85	37.00		1,278.65
2021-01-02 00:00:00	1,286.63	33.00		1,265.05
2021-01-02 01:00:00	1,272.97	45.00		1,278.65
2021-01-02 02:00:00	1,279.12	74.00		1,265.05
2021-01-02 03:00:00	1,272.29	139.00		1,292.25
2021-01-02 04:00:00	1,275.71	41.00		1,373.87
2021-01-02 05:00:00	1,282.53	30.00		1,360.27
2021-01-02 06:00:00	1,303.69	34.00		1,237.84
2021-01-02 07:00:00	1,309.83	38.00		1,251.45
2021-01-02 08:00:00	1,290.04	31.00		1,292.25
2021-01-02 09:00:00	1,296.18	41.00		1,292.25
2021-01-02 10:00:00	1,322.12	33.00		1,305.86
2021-01-02 11:00:00	1,328.26	198.00		1,129.02
2021-01-02 12:00:00	1,318.71	61.00		1,237.84
2021-01-02 13:00:00	1,313.25	44.00		1,210.64
2021-01-02 14:00:00	1,312.56	56.00		1,088.21
2021-01-02 15:00:00	1,315.98	61.00		1,224.24
2021-01-02 16:00:00	1,306.42	50.00		1,129.02
2021-01-02 17:00:00	1,318.71	45.00		1,251.45
2021-01-02 18:00:00	1,307.79	57.00		1,074.61
2021-01-02 19:00:00	1,303.01	67.00		1,183.43
2021-01-02 20:00:00	1,307.10	217.00		1,237.84
2021-01-02 21:00:00	1,308.47	64.00		1,265.05
2021-01-02 22:00:00	1,288.67	41.00		1,251.45
2021-01-02 23:00:00	1,285.94	36.00		1,237.84
2021-01-03 00:00:00	1,283.90	47.00		1,210.64
2021-01-03 01:00:00	1,272.97	34.00		1,251.45
2021-01-03 02:00:00	1,271.61	35.00		1,401.08
2021-01-03 03:00:00	1,270.93	45.00		1,292.25
2021-01-03 04:00:00	1,267.51	34.00		1,237.84
2021-01-03 05:00:00	1,285.94	43.00		1,305.86
2021-01-03 06:00:00	1,305.74	181.00		1,278.65
2021-01-03 07:00:00	1,306.42	33.00		1,278.65
2021-01-03 08:00:00	1,301.64	42.00		1,482.69
2021-01-03 09:00:00	1,305.06	39.00		1,278.65
2021-01-03 10:00:00	1,314.61	34.00		1,278.65
2021-01-03 11:00:00	1,310.52	53.00		1,251.45
2021-01-03 12:00:00	1,301.64	60.00		1,496.29
2021-01-03 13:00:00	1,306.42	93.00		1,373.87
2021-01-03 14:00:00	1,331.67	157.00		1,496.29
2021-01-03 15:00:00	1,326.21	67.00		1,305.86
2021-01-03 16:00:00	1,337.14	49.00		1,305.86
2021-01-03 17:00:00	1,320.75	44.00		1,469.09
2021-01-03 18:00:00	1,305.06	58.00		1,577.91
2021-01-03 19:00:00	1,307.79	45.00		1,564.31
2021-01-03 20:00:00	1,311.20	70.00		1,482.69
2021-01-03 21:00:00	1,287.99	56.00		1,428.28
2021-01-03 22:00:00	1,276.39	190.00		1,917.98
2021-01-03 23:00:00	1,270.24	47.00		2,054.00
2021-01-04 00:00:00	1,267.51	35.00		2,122.02
2021-01-04 01:00:00	1,264.78	40.00		2,162.83
2021-01-04 02:00:00	1,258.64	36.00		2,339.66
2021-01-04 03:00:00	1,262.05	35.00		2,326.06
2021-01-04 04:00:00	1,255.23	36.00		2,366.87
2021-01-04 05:00:00	1,257.96	32.00		421.68
2021-01-04 06:00:00	1,276.39	34.00		0.00
2021-01-04 07:00:00	1,263.42	178.00		0.00
2021-01-04 08:00:00	1,307.79	58.00		1,292.25
2021-01-04 09:00:00	1,353.52	48.00		4,842.55
2021-01-04 10:00:00	1,469.55	81.00		2,693.33
2021-01-04 11:00:00	1,447.71	281.00		2,298.85
2021-01-04 12:00:00	1,441.57	127.00		2,217.24
2021-01-04 13:00:00	1,438.84	131.00		2,149.22
2021-01-04 14:00:00	1,405.39	265.00		2,094.81
2021-01-04 15:00:00	1,396.52	112.00		1,931.58
2021-01-04 16:00:00	1,371.95	109.00		2,040.40
2021-01-04 17:00:00	1,347.37	65.00		1,958.79
2021-01-04 18:00:00	1,309.83	203.00		2,026.80
2021-01-04 19:00:00	1,310.52	43.00		2,094.81
2021-01-04 20:00:00	1,296.18	78.00		2,135.62
2021-01-04 21:00:00	1,289.36	28.00		2,190.03
2021-01-04 22:00:00	1,272.29	66.00		2,190.03
2021-01-04 23:00:00	1,270.93	59.00		2,244.44
2021-01-05 00:00:00	1,247.04	179.00		2,190.03
2021-01-05 01:00:00	1,229.29	30.00		2,353.26
2021-01-05 02:00:00	1,247.04	142.00		2,353.26
2021-01-05 03:00:00	1,243.62	144.00		2,448.48
2021-01-05 04:00:00	1,245.67	12.00		2,638.92
2021-01-05 05:00:00	1,251.82	146.00		2,530.10
2021-01-05 06:00:00	1,257.96	50.00		2,502.89
2021-01-05 07:00:00	1,283.21	37.00		2,638.92
2021-01-05 08:00:00	1,305.06	52.00		2,679.73
2021-01-05 09:00:00	1,386.28	27.00		2,489.29
